+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
+----------------------------------------------------------------------------------------------------------------------+--------+
| FVVA: Femme, villa, voiture, argent                                                                                  | 7.6    |
| Pál Adrienn                                                                                                          | 6.7    |
| So Much for Justice!                                                                                                 | 4.6    |
| Children of the Green Dragon                                                                                         | 6.8    |
| The Final Journey                                                                                                    | 8.9    |
| Quantum Quest: A Cassini Space Odyssey                                                                               | 5.1    |
| The Overnight                                                                                                        | 7.3    |
| In My Sleep                                                                                                          | 5.5    |
| This Wretched Life                                                                                                   | 7.5    |
| Blind Sided                                                                                                          | 7.4    |
| Anderson's Cross                                                                                                     | 5.2    |
| Den milde smerte                                                                                                     | 7.1    |
| Tangled                                                                                                              | 7.7    |
| Burnt by the Sun 2                                                                                                   | 4.2    |
| Tekken                                                                                                               | 4.8    |
| Asleep in the Sun                                                                                                    | 6.3    |
| Hempsters: Plant the Seed                                                                                            | 7.4    |
| Disconnect                                                                                                           | 4.4    |
| Venus & Vegas                                                                                                        | 4.1    |
| Dinner for Schmucks                                                                                                  | 5.9    |
| The A-Team                                                                                                           | 6.7    |
| Toy Story 3                                                                                                          | 8.2    |
| Mexican Devil                                                                                                        | 6.7    |
| Cargo, les hommes perdus.                                                                                            | 5.5    |
| Segurança Nacional                                                                                                   | 3.5    |
| My Nappy Roots: A Journey Through Black Hair-itage                                                                   | 7.5    |
| Milenge Milenge                                                                                                      | 4.1    |
| Vidas pequeñas                                                                                                       | 6.0    |
| 7 Days                                                                                                               | 6.5    |
| Scott Pilgrim vs. the World                                                                                          | 7.5    |
| Dream Street                                                                                                         | 5.3    |
| Diary of a Bad Lad                                                                                                   | 3.7    |
| Mad World                                                                                                            | 6.1    |
| El hada buena - Una fábula peronista                                                                                 | 6.2    |
| The Crazies                                                                                                          | 6.5    |
| Memorias del desarrollo                                                                                              | 7.0    |
| Drunkboat                                                                                                            | 4.9    |
| Satan Hates You                                                                                                      | 4.3    |
| Federal                                                                                                              | 3.2    |
| Guns, Drugs and Dirty Money                                                                                          | 8.0    |
| Piranha 3D                                                                                                           | 5.4    |
| Komaram Puli                                                                                                         | 3.5    |
| Taken by Force                                                                                                       | 7.7    |
| Golapi Ekhon Bilatey                                                                                                 | 7.2    |
| Harlem Hostel                                                                                                        | 3.8    |
| Prince of Persia: The Sands of Time                                                                                  | 6.6    |
| Cielito lindo                                                                                                        | 7.6    |
| Stiffs                                                                                                               | 6.7    |
| Unstoppable                                                                                                          | 6.8    |
| El horror de la dama del lago                                                                                        | 6.2    |
| The Greater Meaning of Water                                                                                         | 6.5    |
